head_entity	relation	tail_entity
testis	part_of	body
lymphoma	causes	cancer
mitral valve prolapse	part_of	cardiovascular system
acne	causes	androgen metabolism
acne	causes	keratinocyte differentiation
acne	causes	follicular hyperplasia
acne	causes	lipid peroxidation
acne	causes	oxidative stress
acne	causes	microbial colonization
acne	causes	skin barrier dysfunction
acne	causes	genetic polymorphisms
acne	causes	androgen receptor signaling
acne	causes	follicular differentiation
retinoblastoma	causes	eye cancer
mortality	affects	patients
brain	part_of	body
muscle	part_of	skeletal muscle
measles	diagnoses	clinical diagnosis
cd14	causes	immune status
cd14	causes	disease
cd14	causes	prognosis
parkinson's disease	causes	neurodegenerative disorder
parkinson's disease	diagnoses	neurodegenerative disorder
parkinson's disease	affects	neurodegenerative disorder
impact	isa	biomedical text
poliovirus	causes	poliomyelitis
hypertension	isa	cardiovascular disease
hypertension	diagnoses	blood pressure
hypertension	ingredient_of	sodium
hypertension	measurement_of	blood pressure
meningitis	affects	brain
subcutaneous emphysema	diagnoses	pneumomediastinum
hiv	diagnoses	human immunodeficiency virus
diabetes	diagnoses	diabetes mellitus
mothers	treats	fathers
scanning electron microscopy	measures	morphology
optic disc	part_of	eye
hepatitis b	isa	disease
hepatitis b virus	causes	hepatitis b
bcl-2	isa	protein
glaucoma	causes	blindness
angiotensin-(1-7)	diagnoses	heart conditions
myocardium	part_of	heart
covid-19	causes	coronavirus disease
carbamazepine	diagnoses	epilepsy
death	causes	mortality
goiter	causes	diffuse toxic goiter
goiter	causes	papillary carcinoma
goiter	causes	follicular carcinoma
goiter	causes	adenomatous goiter
goiter	causes	thyroid adenoma
goiter	causes	toxic multinodular goiter
goiter	causes	toxic adenomatous goiter
goiter	causes	follicular adenoma
reelin	associated_with	brain lipid metabolism
reelin	measurement_of	lipidomic analysis
development	isa	disease
diabetes	causes	diabetic nephropathy
lung cancer	affects	patients
pten	isa	gene
hydrogen peroxide	causes	oxidative stress
cftr	isa	protein
cftr	causes	cystic fibrosis
cftr	diagnoses	cystic fibrosis
detection	isa	biomedical text
bacteria	causes	infection
osteosarcoma	affects	bone
epilepsy	isa	disease
plasminogen	isa	protein
exosomes	isa	extracellular vesicles
pd-l1	interacts_with	pd-1
dialysis	part_of	renal replacement therapy
amoxicillin	treats	bacterial infection
gene	treats	genetic differentiation
gene	treats	genetic drift
methotrexate	treats	rheumatoid arthritis
heparin	treats	thrombosis
cataract	causes	vision loss
cataract	part_of	aging process
pain	diagnoses	chronic pain
hypothyroidism	isa	disease
asthma	diagnoses	respiratory disease
dystonia	causes	neurodegeneration
dystonia	causes	trauma
dystonia	causes	metabolic disorders
dystonia	causes	viral infection
dystonia	causes	toxin exposure
dystonia	causes	aging
dystonia	causes	neuroinflammation
schizophrenia	diagnoses	mental disorder
acne	affects	skin
hps	causes	lung pathology
hepatitis e virus	associated_with	immunocompromised conditions
disease	part_of	medical field
amoxicillin	treats	bacterial infections
antibiotics	treats	infections
obesity	causes	hypertension
hemodialysis	treats	renal failure
etomoxir	diagnoses	heart
disease	manifestation_of	symptoms
hiv	isa	disease
nitric oxide	affects	immune system
nitric oxide	affects	skin health
nitric oxide	affects	eye health
nitric oxide	affects	brain function
nitric oxide	affects	heart health
nitric oxide	affects	digestive system
nitric oxide	affects	reproductive system
nitric oxide	affects	muscle function
cataract	diagnoses	ophthalmic examination
food	interacts_with	digestive system
obesity	causes	metabolic syndrome
doxorubicin	affects	tumor cells
immunization	treats	vaccine-preventable diseases
hbv	causes	hepatitis b
hcf-1	part_of	cell proliferation
hcf-1	manifestation_of	cell proliferation
hcf-1	ingredient_of	cell proliferation
symptoms	affects	quality of life
leptospirosis	causes	pulmonary hemorrhage
breast cancer	affects	patient
brca1	isa	gene
brca2	isa	gene
pregnancy	diagnoses	gestational diabetes mellitus
pregnancy	measured_by	fetal heart rate
pregnancy	manifestation_of	fetal growth restriction
pregnancy	ingredient_of	human chorionic gonadotropin
pregnancy	associated_with	gestational age
pregnancy	measured_by	fetal weight
pregnancy	manifestation_of	fetal distress
pregnancy	ingredient_of	estradiol
pregnancy	causes	preterm labor
pregnancy	associated_with	gestational diabetes mellitus
pregnancy	manifestation_of	fetal congenital anomalies
pregnancy	causes	preterm premature rupture of membranes
heart	affects	cardiac function
p53	isa	protein
breast cancer	diagnoses	mammography
breast cancer	affects	quality of life
breast cancer	part_of	cancer
obesity	manifestation_of	excess body fat
obesity	part_of	metabolic syndrome
depression	affects	quality of life
cannabidiolic acid synthase	interacts_with	cannabinoid receptor
recovery	affects	patient
prolactin	isa	hormone
rotavirus	causes	diarrhea
drug	measurement_of	pharmacokinetics
cholera	causes	diarrhea
tbi	causes	traumatic brain injury
alpha-synuclein	isa	protein
alpha-synuclein	causes	parkinson's disease
cataract	diagnoses	age-related cataract
diazepam	affects	behavioral traits
diazepam	causes	adverse effects
diazepam	part_of	pharmaceutical drugs
hyperoxia	causes	lung injury
covid-19	causes	death
stage	causes	tongue cancer
surgery	causes	tongue cancer
radiotherapy	causes	tongue cancer
stage	measures	tongue cancer
surgery	measures	tongue cancer
radiotherapy	measures	tongue cancer
stage	manifestations	tongue cancer
recurrence	manifests	tongue cancer
regional control	manifests	tongue cancer
stage	associated_with	tongue cancer
surgery	associated_with	tongue cancer
radiotherapy	associated_with	tongue cancer
stage	ingredient_of	tongue cancer
surgery	ingredient_of	tongue cancer
radiotherapy	ingredient_of	tongue cancer
hypothalamus	part_of	brain
schizophrenia	affects	brain
immunohistochemistry	measures	expression
calcium	isa	nutrient
hepatotoxicity	causes	liver damage
hepatic	part_of	liver
cornea	part_of	eye
lens	part_of	eye
polycyclic aromatic hydrocarbons	causes	cancer
diagnosis	isa	disease
chromatin	affects	gene regulation
chromatin	ingredient_of	epigenome
chromatin	measurement_of	epigenetic profiling
chromatin	part_of	nucleus
chromatin	treats	gene regulation
pertussis	causes	whooping cough
rna	isa	nucleic acid
dna	isa	nucleic acid
tuberculosis	causes	respiratory tract infections
hiv	diagnoses	hiv infection
hiv	treats	antiretroviral therapy
hiv	measured_by	viral load
hiv	interacts_with	human immunodeficiency virus type 1
hiv	ingredient_of	human immunodeficiency virus type 2
hiv	causes	immune dysfunction
hiv	measured_by	cd4 count
hiv	affects	immune system function
hiv	causes	sexual transmission
malaria	ingredient_of	malaria control
malaria	part_of	malaria control
malaria	interacts_with	malaria control
malaria	associated_with	malaria control
methionine	isa	amino acid
hypertriglyceridemia	treats	cardiovascular risk
hypertriglyceridemia	treats	increased cardiovascular risk
hypertriglyceridemia	treats	pancreatitis
glaucoma	role	vagus nerve
glaucoma	role	digestive functions
glaucoma	role	mice
glaucoma	role	rats
glaucoma	role	pigs
glaucoma	role	sheep
glaucoma	role	monkeys
glaucoma	role	cck receptors
cocaine	causes	addiction
orbital region	causes	orbital fractures
orbital region	treats	orbital cellulitis
orbital region	diagnoses	orbital inflammation
orbital region	ingredient_of	eyelid
orbital region	interacts_with	orbital muscles
orbital region	local anesthesia	orbital surgery
orbital region	manifestation_of	orbital swelling
orbital region	associated_with	orbital tumors
intussusception	causes	intestinal obstruction
intussusception	diagnoses	metastases
intussusception	causes	metastases
intussusception	affects	gastrointestinal tract
intussusception	diagnoses	lung cancer
intussusception	causes	lung cancer
intussusception	causes	abdominal pain
fgf21	ingredient_of	rats
mortality	diagnoses	death
gender	isa	male
covid-19	causes	local transmission
covid-19	causes	response strategies
covid-19	causes	contact tracing
covid-19	causes	inflammation
covid-19	causes	subarachnoid
covid-19	causes	intraventricular
metformin	causes	lactic acidosis
gl261	measures	tumor growth delay
growth	isa	biological process
erythropoietin	causes	anemia
pancreas	isa	organ
pancreas	part_of	digestive system
helicobacter pylori	isa	disease
helicobacter pylori	causes	gastric cancer
endometriosis	causes	pelvic pain
isoniazid	causes	tuberculosis
hepatic	isa	organ
busulfan	ingredient_of	antineoplastic agent
psoriatic arthritis	complementary examination	synovial biopsy
psoriatic arthritis	complementary examination	arthroscopy
psoriatic arthritis	complementary examination	arthrocentesis
psoriatic arthritis	complementary examination	arthrogram
hiv	causes	tuberculosis
hiv	causes	aids
hiv	causes	neoplasms
fmri	measures	brain activity
oral mucosal ulceration	part_of	oral cavity
glucose	measured_by	blood glucose level
helicobacter pylori	causes	chronic gastritis
avian influenza virus	causes	influenza
malaria	causes	disease
human immunodeficiency virus type 1	causes	acquired immune deficiency syndrome
amoxicillin	interacts_with	beta-lactamase
amoxicillin	ingredient_of	amoxicillin trihydrate
ligand	interacts_with	receptor
cat	interacts_with	drug
cat	affects	disease
cat	diagnoses	disease
cat	causes	disease
cat	part_of	body
spinal cord	part_of	central nervous system
sars	causes	severe acute respiratory syndrome
enzyme	interacts_with	protein
imipramine	treats	depression
fluoxetine	treats	depression
chromatin	affects	gene expression
pancreas	causes	pancreatitis
leptospira	causes	leptospirosis
breast	causes	cancer
als	diagnoses	amyotrophic lateral sclerosis
cancer	associated_with	aging
cancer	manifestation_of	symptoms
depression	affects	mood
parkinson's disease	isa	disease
cancer	affects	mortality
cancer	ingredient_of	carcinogens
fmri	measures	functional magnetic resonance imaging
hepatic	isa	liver
disease	affects	cataract
zinc	affects	zinc homeostasis
zinc	ingredient_of	cellular processes
zinc	associated_with	zinc homeostasis
zinc	part_of	cellular processes
rhabdomyosarcoma	causes	cancer
platelet	isa	cell
platelet	part_of	blood
chronic obstructive pulmonary disease	manifestation_of	shortness of breath
asthma	manifestation_of	wheezing
hemoglobin	isa	protein
dexamethasone	interacts_with	glucocorticoid receptor
lymphoma	part_of	lymphomagenesis
gene	affects	lymphomagenesis
heparin	treats	deep vein thrombosis
calcium	ingredient_of	bone
blood pressure	manifestation_of	hypertension
vitamin d	causes	rickets
zinc	ingredient_of	immune system function
selenium	ingredient_of	thyroid function
magnesium	ingredient_of	muscle function
cocaine	affects	cocaine use
cocaine	measurement_of	cocaine use
dentate gyrus	part_of	hippocampus
identification	ingredient_of	tumor necrosis factor-alpha
identification	ingredient_of	interleukin-1 beta
identification	ingredient_of	interferon-gamma
endometriosis	affects	reproductive fitness
allergy	causes	allergic contact dermatitis
rabies	ingredient_of	virus
vitamin d	interacts_with	immune system
cat	diagnoses	enzyme activity
cat	part_of	biotransformations
arsenic	causes	skin cancer
breast cancer	affects	prognosis
smoking	interacts_with	lung
sheep	affects	necrosis
sheep	affects	sloughing
sheep	affects	skin
bisphosphonates	treats	osteoporosis
milk	ingredient_of	cheese
salmonella	causes	food poisoning
ferritin	isa	protein
dengue virus	causes	dengue fever
pseudomonas aeruginosa	causes	infection
monocyte	interacts_with	immune system
pcb	causes	dna
pcb	causes	methylation
pcb	causes	blood
pcb	causes	epic
pcb	causes	association
myocardial infarction	causes	acute myocardial infarction
fluoride	causes	dental caries
chromosome	part_of	genome
tuberculosis	causes	respiratory tract infection
tuberculosis	causes	pulmonary tuberculosis
rectal cancer	affects	patients
sex	affects	patients
progesterone	treats	ovarian cancer
blood pressure	measures	systolic blood pressure
kidney	isa	organ
pregnancy	causes	pregnancy complications
fentanyl	diagnoses	opioid use disorder
norovirus	causes	gastroenteritis
nitrofurantoin	ingredient_of	antibiotic therapy
nitrofurantoin	part_of	antibiotic therapy
adrenal	part_of	endocrine system
erythrocyte	isa	blood cell
manual ventilation	causes	respiratory failure
occupational therapy	part_of	stomatognathic system
fio2	measurement_of	oxygen saturation
cancer	part_of	oncology
laparoscopically assisted vaginal hysterectomy	ingredient_of	surgical instruments
laparoscopically assisted vaginal hysterectomy	part_of	gynecologic surgery
laparoscopically assisted vaginal hysterectomy	manifestation_of	complications
leiomyosarcoma	isa	tumor
cat	measurement_of	blood pressure
eeg	measures	electroencephalogram
patient	experience	unpleasant emotions
patient	expression	unpleasant emotions
bone	part_of	skeletal system
captopril	treats	hypertension
amoxicillin	causes	acute bronchitis
hemoglobin suan-dok	causes	alpha-thalassemia
hemoglobin suan-dok	causes	hemoglobin H disease
oocyte	part_of	reproductive system
phospholipids	isa	lipid
drosophila	isa	insect
septic shock	affects	mortality
urethral injury	measures	urodynamic study
mortality	isa	death
iron	causes	iron deficiency
hiv	manifestation_of	acquired immune deficiency syndrome
hypothermia	affects	body temperature
grna	anchor	binding
legionella pneumophila	causes	legionnaires' disease
milk	ingredient_of	human milk
hair	ingredient_of	human hair
hair	measured_in	human hair
milk	measured_in	human milk
pertussis	causes	respiratory tract infection
systemic lupus erythematosus	diagnoses	autoimmune disease
neisseria gonorrhoeae	causes	gonorrhea
bax	affects	apoptosis
bcl-2	affects	apoptosis
prognosis	isa	medical condition
dystrophin	isa	protein
hbv	affects	liver
hyperhomocysteinemia	affects	vascular disease
obese	diagnoses	obesity
kidney	affects	renal function
kidney	part_of	urinary system
vitamin b12	diagnoses	vitamin b12 deficiency
yogurt	ingredient_of	proteins
yogurt	ingredient_of	vitamins
yogurt	ingredient_of	minerals
yogurt	ingredient_of	probiotics
yogurt	ingredient_of	prebiotics
yogurt	ingredient_of	enzymes
yogurt	ingredient_of	amino acids
yogurt	ingredient_of	carbohydrates
yogurt	ingredient_of	lipids
yogurt	ingredient_of	water
magnetic resonance imaging	isa	medical imaging
leprosy	affects	skin
overexpression	isa	gene expression
apoptosis	affects	cell death
anxiety	affects	mental health
crohn's disease	diagnoses	inflammatory bowel disease
alloxan	causes	diabetes
plasma	isa	blood
amoxicillin	interacts_with	bacteria
mrsa	isa	bacteria
psoriasis	affects	skin
sars-cov-2	isa	coronavirus
sars-cov-2	ingredient_of	virus
